Unnamed: 0,APPLES,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
AFB,AFRI BLUSH,APPLES
FRU,AFRI RUBY,APPLES
AGO,AFRI GLO,APPLES
ASA,AFRI STAR,APPLES
AFC,AFRICAN CARMINE™ (AFRICAN RED),APPLES
AFR,AFRICAN RED,APPLES
AAF,AFRIGEN 1,APPLES
ALR,ATLANTIC RED,APPLES
ATB,AUTUMN BLUSH,APPLES
AZT,AZTEC ,APPLES
BGN,BAIGENT,APPLES
TSU,BENNI TSUGARU,APPLES
BUK,BIGBUCKS GALA,APPLES
BFG,BIGBUCKS GALA (FLASH GALA™),APPLES
BIN,BINGO GALA,APPLES
BGS,BLUSHED GOLDEN,APPLES
BOA,BONITA,APPLES
BBN,BRAEBURN,APPLES
CME,CAMEO™ (CAUDLE),APPLES
CAU,CAUDLE,APPLES
CGA,CORDER GALA,APPLES
COX,COX'S ORANGE PIPPIN,APPLES
CPP,CRIPPS PINK,APPLES
CPK,(CRIPPS PINK) PINKIDS®,APPLES
CIR,CRIPPS RED,APPLES
DAL,DALINETTE,APPLES
DAC,DALINETTE (CHOUPETTE®),APPLES
DCS,DELICIOUS,APPLES
DKS,DRAKENSTEIN,APPLES
ERO,EARLY RED ONE,APPLES
ELE,ELEGANT™ (AFRIGEN 1),APPLES
EPR,EMPIRE,APPLES
FIE,FIESTA,APPLES
FUJ,FUJI,APPLES
FBK,FUJI BRAK,APPLES
FUB,FUJI FUBRAX,APPLES
FUG,FUJI GREEN ,APPLES
RFJ,FUJI RED,APPLES
FRY,FUJI ROYAL ,APPLES
FUS,FUJI SUPREMA,APPLES
GAA,GALA,APPLES
GGS,GALA/GRANNY SMITH,APPLES
GLV,GALAVAL,APPLES
GIN,GINGERGOLD,APPLES
GDL,GOLDEN DELICIOUS,APPLES
GRS,GRANNY SMITH,APPLES
HYP,HONEYCRISP,APPLES
HYC,HONEYCRUNCH®  (HONEYCRISP),APPLES
INL,INOLOV,APPLES
ILM,INOLOV(MANDY®),APPLES
INO,INORED ,APPLES
IPA,IPADOR,APPLES
GIG,IPADOR (GIGA®),APPLES
JZZ,JAZZ™ (SCIFRESH) ,APPLES
JRM,JEROMINE,APPLES
JOG,JONAGOLD,APPLES
JOR,JONAGORED,APPLES
JON,JONATHAN,APPLES
JOY,JOYA® (CRIPPS RED),APPLES
BRK,KIKU® (FUJI BRAK),APPLES
KIZ,KIZURI,APPLES
AKG,KOGETSU,APPLES
LIR,LADY IN RED,APPLES
LPL,LADY IN RED (PINK LADY®),APPLES
LWL,LADY WILLIAMS,APPLES
MAH,MAHANA RED ,APPLES
RFD,MAHANA RED (REDFIELD®),APPLES
BRM,MARIRI RED,APPLES
M38,MC38(CRIMSON SNOW®),APPLES
NY1,NEWYORK 1,APPLES
NYG,NEWYORK 1 (SNAPDRAGON®),APPLES
NY2,NEWYORK 2,APPLES
NSG,NEWYORK 2 (RUBYFROST®),APPLES
GNS,NICOGREEN (GREENSTAR®),APPLES
NIC,NICOTER,APPLES
KZI,NICOTER (KANZI®),APPLES
NNT,NICOTER (NIKITA™),APPLES
ADS,OHENIMURI,APPLES
OPA,OPAL® (UEB32642),APPLES
OSP,OREGON SPUR,APPLES
ORP,OREGON RED SPUR,APPLES
OSG,OLSWENTWO GALA,APPLES
OZG,OZARK GOLD,APPLES
PNG,PANORAMA GOLDEN,APPLES
PLD,PINK LADY®  (CRIPPS PINK),APPLES
PSI,PREM A17(SMITTEN™),APPLES
PRA,PREMA96(ROCKIT™) ,APPLES
PMA,PREM A280(SWEETIE™),APPLES
RDC,RED CHIEF,APPLES
RDO,RDS(JOYA®),APPLES
PA3,PREMA003,APPLES
PAP,PREMA003 (POSH™),APPLES
P93,PREMA093,APPLES
PM3,PREMA093(SASSY™),APPLES
EMA,PREMA153,APPLES
RDS,RDS,APPLES
EDD,RED DELICIOUS,APPLES
ROK,ROKEWOOD,APPLES
RBT,ROME BEAUTY,APPLES
RME,ROMEO ,APPLES
RYB,ROYAL BEAUT,APPLES
RLG,ROYAL GALA,APPLES
PCG,ROYAL GALA (PACIFIC GALA™),APPLES
RGL,ROYAL GALA (TENROY),APPLES
RGR,ROYAL GALA RED,APPLES
RSY,ROSY GLOW,APPLES
RGA,RUBY GALA,APPLES
SCE,SCILATE,APPLES
ENV,SCILATE (ENVY™),APPLES
ASF,SCIFRESH,APPLES
S3E,SG-AP-M3(EVERGALA™),APPLES
SMT,SMOOTHEE,APPLES
SKL,SPARKLE,APPLES
SPD,SPLENDOUR,APPLES
PL1,STARAPPLE 1,APPLES
TWT,STARAPPLE 1 (TWIST®),APPLES
SKI,STARKING,APPLES
SKD,STARKING DELICIOUS ,APPLES
SKM,STARKRIMSON,APPLES
DSC,STARKSPUR GOLDEN DELICIOUS,APPLES
SMR,SUMMERRED,APPLES
TNY,TENROY,APPLES
TOP,TOPRED,APPLES
RDL,TOPRED DELICIOUS,APPLES
WA2,WA2,APPLES
WSM,WA2 (SUNRISE MAGIC®) ,APPLES
W38,WA38,APPLES
WCC,WA38 (COSMIC CRISP®) ,APPLES
WHW,WHITE WINTER PEARMAIN,APPLES
WSP,WINESAP,APPLES
WTB,WINTER BANANA,APPLES
ZAR,ZARI,APPLES
ZON,ZONGA ,APPLES
