Unnamed: 0,APRICOTS,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
APA,ALPHA,APRICOTS
AGI,AGOSTINO,APRICOTS
ATS,AUTUMN SPRITE,APRICOTS
BEB,BEBECO,APRICOTS
BOE,BOLERO,APRICOTS
BUL,BULIDA,APRICOTS
CAN,CANINO,APRICOTS
CBE,CAPE BEBECO,APRICOTS
CHA,CHARISMA,APRICOTS
COD,COLORADO,APRICOTS
EDP,EDEN PRIME,APRICOTS
EMS,EMPRESS,APRICOTS
GNY,GOLDENMAY,APRICOTS
GDR,GRANDIR,APRICOTS
FAR,FARALIA,APRICOTS
FRB,FARBALY,APRICOTS
FCL,FARCLO,APRICOTS
FAY,FARELY,APRICOTS
FCI,FARLIS,APRICOTS
FEC,FLONECA,APRICOTS
FLO,FLOPRIA,APRICOTS
FEG,FUEGO,APRICOTS
IMP,IMPERIAL,APRICOTS
MAS,MADISON,APRICOTS
MGL,MADRIGAL,APRICOTS
MLR,MILORD,APRICOTS
MOG,MOGADOR,APRICOTS
NON,NELSON,APRICOTS
ORE,ORANGERED®  (BHART)    ,APRICOTS
PAL,PALSTEYN,APRICOTS
PAZ,PAZ,APRICOTS
PKA,PEEKA,APRICOTS
PIE,PIET CILLIE,APRICOTS
RRE,PREROTEA,APRICOTS
PCI,PRICIA,APRICOTS
ROY,ROYAL,APRICOTS
RUI,RUBIBOP,APRICOTS
RTC,RUSTIC,APRICOTS
S01,SCD001,APRICOTS
SOL,SOLDONNÉ,APRICOTS
SOA,SOLITAIRE,APRICOTS
SU8,SUAPRIEIGHT (HONEYCOT®),APRICOTS
SU9,SUAPRININE (HONEYCOT®),APRICOTS
SUA,SUAPRISEVEN (HONEYCOT®),APRICOTS
SUP,SUPERGOLD,APRICOTS
SSH,SUNSHINE,APRICOTS
ACT,AFRICOT,INTERSPECIFIC APRICOTS
CAI,CALIROSE,INTERSPECIFIC APRICOTS
HYR,HONEYRICH,INTERSPECIFIC APRICOTS
KYZ,KYZEE,INTERSPECIFIC APRICOTS
WSC,WESCOT,INTERSPECIFIC APRICOTS
