Unnamed: 0,BLUEBERRIES,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
ABU,ABUNDANCE,BLUEBERRIES
AKA,AKALA,BLUEBERRIES
AIR,ALLIRA,BLUEBERRIES
AAA,ARANA,BLUEBERRIES
ARB,ArabellaBlue® ‘FC14-062’,BLUEBERRIES
ATU,ATLASBLUE™ 'FCM12-045',BLUEBERRIES
AVA,AVA,BLUEBERRIES
AZR,AZRABLUE™ 'FCM14-031',BLUEBERRIES
BKY,BERKELEY,BLUEBERRIES
BIA,BIANCABLUE™ 'FCM12-087',BLUEBERRIES
BXI,BILOXI,BLUEBERRIES
BBD,BINDA,BLUEBERRIES
BBY,BLUE BAYOU,BLUEBERRIES
BLC,BLUE CRISP,BLUEBERRIES
BLU,BLUE CROP,BLUEBERRIES
BDS,BLUE DUCHESS,BLUEBERRIES
BMN,BLUE MOON,BLUEBERRIES
BLR,BLUE RIBBON,BLUEBERRIES
BL2,BLUEGOLD,BLUEBERRIES
BIK,BOBOLINK,BLUEBERRIES
BNA,BONITA,BLUEBERRIES
BOU,BOUNTY,BLUEBERRIES
BRE,BREZZE,BLUEBERRIES
BRW,BRIGHTWELL,BLUEBERRIES
BRI,BRIGITTA,BLUEBERRIES
BBU,BRIGHTBLUE,BLUEBERRIES
CMI,CAMELLIA,BLUEBERRIES
CCD,CASCADE,BLUEBERRIES
CEN,CENTRA BLUE ,BLUEBERRIES
BCR,CERES,BLUEBERRIES
CHN,CHANDLER,BLUEBERRIES
CKA,CHICKADEE,BLUEBERRIES
CHI,CHOICE,BLUEBERRIES
CLI,CLIMAX,BLUEBERRIES
CIA,CORINDI VERDURE,BLUEBERRIES
CON,CORINNA,BLUEBERRIES
CUP,CUPLA,BLUEBERRIES
DZZ,DAZZLE,BLUEBERRIES
DLT,DELITE,BLUEBERRIES
DLH,DELIGHT,BLUEBERRIES
DTL ,DRISBLUETWELVE,BLUEBERRIES
DBU,DRISBLUEFIFTEEN  ,BLUEBERRIES
DBS,DRISBLUESEVENTEEN ,BLUEBERRIES
DRI,DRISBLUEEIGHTEEN ,BLUEBERRIES
DWT,DRISBLUETWENTY,BLUEBERRIES
DUE,DUPREE,BLUEBERRIES
12B,E12,BLUEBERRIES
19B ,E19 ,BLUEBERRIES
42B,E42,BLUEBERRIES
B92,E92,BLUEBERRIES
EHS,EARLY DUCHESS,BLUEBERRIES
EBA,EB 12-3 (OZblu®Alli) ,BLUEBERRIES
OMG,EB 12-19 (OZblu® Magnifica),BLUEBERRIES
OJE,EB 8-42 (OZblu® Julieta),BLUEBERRIES
OBL,EB 8-46 (OZblu® Bella),BLUEBERRIES
OMN,EB 8-50 (OZblu® Monica),BLUEBERRIES
OZB,EB 9-12 (OZblu® Bonita),BLUEBERRIES
OZM,EB 9-2 (OZblu® Magica),BLUEBERRIES
OMR,EB 9-4 (OZblu® Mora),BLUEBERRIES
ECH,ECHO,BLUEBERRIES
ELN,ELLIN,BLUEBERRIES
ELT,ELLIOT,BLUEBERRIES
EMD,EMERALD,BLUEBERRIES
ETE,ETERNA,BLUEBERRIES
EUK,EUREKA,BLUEBERRIES
EUD,EUREKA DAWN,BLUEBERRIES
