Unnamed: 0,CACTUS PEARS,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
AGT,AMERICAN GIANT,CACTUS PEARS
ALG,ALGERIAN,CACTUS PEARS
BMO,BLUE MOTTO,CACTUS PEARS
DRT,DIREKTEUR,CACTUS PEARS
FSC,FUSICAULIS,CACTUS PEARS
GNC,GYMNO CARPO,CACTUS PEARS
MAL,MALTA,CACTUS PEARS
MEX,MEXICAN,CACTUS PEARS
MEY,MEYERS,CACTUS PEARS
MRD,MORADO,CACTUS PEARS
NUD,NUDOSA,CACTUS PEARS
RTN,ROEDTAN,CACTUS PEARS
SKC,SKINNERS COURT,CACTUS PEARS
SRO,SANTA ROSA,CACTUS PEARS
TRP,TURPIN,CACTUS PEARS
VAS,VAN AS,CACTUS PEARS
ZAS,ZASTRON,CACTUS PEARS
