Unnamed: 0,CHERRIES,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
BBG,BURBANK BLACK GIANT,CHERRIES
BNG,BING,CHERRIES
BGR,BLACK BIGGAREAU,CHERRIES
BTT,BLACK TARTARIAN,CHERRIES
BOK,BROOKS,CHERRIES
CSH,CASHMERE,CHERRIES
DRG,DRAGON CROWN,CHERRIES
BUE,EARLY BURLAT,CHERRIES
EPF,EMPEROR FRANCIS,CHERRIES
ERR,EARLY RIVERS,CHERRIES
ERS,EARLISWEET ,CHERRIES
GHD,GIANT HEIDELFINGER,CHERRIES
GLR,GLENRED,CHERRIES
GSP,GROSSE PRINZESSIN,CHERRIES
HDF,HEINDELFINGER,CHERRIES
138,I9138,CHERRIES
LAP,LAPINS,CHERRIES
LBT,LAMBERT,CHERRIES
MMC,MONTMORENCY,CHERRIES
MRY,MINNIE ROYAL,CHERRIES
NBG,NAPOLEN BIGGAREAU,CHERRIES
NPL,NAPOLEON,CHERRIES
PIO,PIONEER,CHERRIES
RAI,RAINIER,CHERRIES
RLA,ROYAL ALIDA,CHERRIES
RAN,ROYAL ANN,CHERRIES
RLD,ROYAL DAWN,CHERRIES
OYA,ROYAL DIABLO,CHERRIES
RLC,ROYAL EDIE,CHERRIES
RLB,ROYAL ELAINE,CHERRIES
RHZ,ROYAL HAZEL,CHERRIES
RLI,ROYAL HELEN,CHERRIES
RYJ,ROYAL JAN,CHERRIES
RLJ,ROYAL JIM,CHERRIES
RLE,ROYAL LEE,CHERRIES
RCL,ROYAL LETTY,CHERRIES
RLL,ROYAL LYNN,CHERRIES
RLY,ROYAL TENAYA,CHERRIES
RTI,ROYAL TIOGA,CHERRIES
NTI,SANTINA,CHERRIES
SEQ,SEQUOIA,CHERRIES
SKA,SKEENA,CHERRIES
STE,STELLA,CHERRIES
SWA,SWEET ANNE,CHERRIES
SWH,SWEETHEART,CHERRIES
VAN,VAN,CHERRIES
VIS,VISTA,CHERRIES
ZAG,ZAIGER,CHERRIES
