Unnamed: 0,GRAPEFRUIT,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
Variety Code,Variety Name,Product Name,Variety Group Name ,Variety Group  Code  
ALZ,ALIZA,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
FLM,FLAME,GRAPEFRUIT,RED GRAPEFRUIT ,RG
FML,FLAMINGO,GRAPEFRUIT,RED GRAPEFRUIT ,RG
FOD,FLORIDA 914,GRAPEFRUIT,RED GRAPEFRUIT ,RG
JCK,JACKSON,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
JLS,JACKSON LS,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
JSS,JACKSON (SWEET SUNRISE™) ,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
MAR,MARSH,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
MGF,MARSH GRAPEFRUIT,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
NGF,NARTIA GRAPEFRUIT,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
ORA,OROBLANCO GRAPEFRUIT,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
PGF,PINK GRAPEFRUIT,GRAPEFRUIT,PINK GRAPEFRUIT ,PG
RAY,RAY RUBY,GRAPEFRUIT,PINK GRAPEFRUIT ,PG
RGF,RED GRAPEFRUIT,GRAPEFRUIT,RED GRAPEFRUIT ,RG
GRH,REDHEART,GRAPEFRUIT,RED GRAPEFRUIT ,RG
ROS,ROSé,GRAPEFRUIT,PINK GRAPEFRUIT ,PG
RUB,RUBY RED,GRAPEFRUIT,PINK GRAPEFRUIT ,PG
STR,STAR RUBY,GRAPEFRUIT,RED GRAPEFRUIT ,RG
SHG,SWEETHEART,GRAPEFRUIT,PINK GRAPEFRUIT ,PG
GSS,SWEET SUNRISE,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
SWG,SWEET WHITE GRAPEFRUIT,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
WGF,WHITE GRAPEFRUIT,GRAPEFRUIT,WHITE GRAPEFRUIT ,WG
