Unnamed: 0,GRAPES,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
301,3010,GRAPES
321,3021,GRAPES
ADL,AFRICAN DELIGHT,GRAPES
ALM,ALMERIA,GRAPES
ARD,ALPHA RED,GRAPES
ALP,ALPHONSE LAVALLÉE,GRAPES
ALV,ALPHONSE LAVALLÉE/VICTORIA,GRAPES
RTD,ARDTHIRTYFIVE,GRAPES
A36,ARDTHIRTYSIX,GRAPES
AFV,ARDTHIRTYFIVE/ARRAFIFTEEN ,GRAPES
AVE,ARDTHIRTYFIVE (ARRA FIRE CRUNCH™),GRAPES
FAF,ARDTHIRTYFIVE (ARRA FIRE CRUNCH™)/ARRAFIFTEEN (ARRA SWEETIES™),GRAPES
AR8,ARRAEIGHTEEN,GRAPES
IGH,ARRAEIGHTEEN/IFG SEVEN (COTTON CANDY™),GRAPES
AXT,ARRAFIFTEEN/ARRATWENTYNINE ,GRAPES
FFG,ARRAFIFTEEN/IFG 68-175 ,GRAPES
ARW,ARRAFIFTEEN (ARRA SWEETIES™),GRAPES
AAI,ARRAFIFTEEN (ARRA SWEETIES™)/IFG 68-175 (SWEET CELEBRATION™) ,GRAPES
ATD,ARRAFIFTEEN (ARRA SWEETIES™)ROSIDAWN,GRAPES
ESA,ARRAFIFTEEN (ARRA SWEETIES™)/ARRATWENTYNINE (ARRA PASSION FIRE™) ,GRAPES
FAA,ARRAFIFTEEN (ARRA SWEETIES™)/FLAME SEEDLESS ,GRAPES
AFY,ARRAFIFTEEN (ARRA SWEETIES™)/TAWNY SEEDLESS),GRAPES
IEN,ARRAFIFTEEN (ARRA SWEETIES™)/ ARRATEN,GRAPES
IET,ARRAFIFTEEN(ARRA SWEETIES™)/ARRAEIGHTEEN ,GRAPES
AAO,ARRAFIFTEEN(ARRA SWEETIES™)/AUTUMN ROYAL,GRAPES
ABE,ARRAFIFTEEN(ARRA SWEETIES™)/BLAGRATWO (MELODY™),GRAPES
AAC,ARRAFIFTEEN (ARRA SWEETIES™)/CRIMSON SEEDLESS,GRAPES
AWI,ARRAFIFTEEN (ARRA SWEETIES™)/ ICON (FIRESTAR™),GRAPES
AIJ,ARRAFIFTEEN (ARRA SWEETIES™)/IFG NINE (JACK’S SALUTE™),GRAPES
AA6,ARRAFIFTEEN (ARRA SWEETIES™)/IFG SIX (SWEET SAPPHIRE™),GRAPES
AIH,ARRAFIFTEEN(ARRA SWEETIES™)/IFG TWENTY (CANDY CRUSH™),GRAPES
S2A,ARRAFIFTEEN (ARRA SWEETIES™)/SHEEGENE 2 (TIMPSON™),GRAPES
ASN,ARRAFIFTEEN (ARRA SWEETIES™)/SHEEGENE 3 (MAGENTA™),GRAPES
ASY,ARRAFIFTEEN (ARRA SWEETIES™)/SHEEGENE 12(KRISSY™),GRAPES
GHT,ARRAFIFTEEN (ARRA SWEETIES™)/STARLIGHT,GRAPES
TIA,ARRAFIFTEEN (ARRA SWEETIES™)/SUGRANINETEEN(SCARLOTTA SEEDLESS®),GRAPES
IES,ARRAFIFTEEN (ARRA SWEETIES™)/SUGRASIXTEEN,GRAPES
