Unnamed: 0,INTERSPECIFIC PLUMS,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
117,11712,INTERSPECIFIC PLUMS
652,37P652,INTERSPECIFIC PLUMS
ATT,AUTUMN TREAT,INTERSPECIFIC PLUMS
BRY,BELLA ROYALE ,INTERSPECIFIC PLUMS
BLG ,BLUE GUSTO,INTERSPECIFIC PLUMS
BR1,BLACKRED I,INTERSPECIFIC PLUMS
BR2,BLACKRED II,INTERSPECIFIC PLUMS
BR3,BLACKRED III,INTERSPECIFIC PLUMS
BR4,BLACKRED IV,INTERSPECIFIC PLUMS
BR5,BLACKRED V,INTERSPECIFIC PLUMS
BR6,BLACKRED VI,INTERSPECIFIC PLUMS
BR7,BLACKRED VII,INTERSPECIFIC PLUMS
BR8,BLACKRED VIII,INTERSPECIFIC PLUMS
B12,BLACKRED XII,INTERSPECIFIC PLUMS
B21,BLACKRED XXI,INTERSPECIFIC PLUMS
CRK,CRIMSON KAT,INTERSPECIFIC PLUMS
DAP,DAPPLE DANDY,INTERSPECIFIC PLUMS
DPF,DAPPLE FIRE,INTERSPECIFIC PLUMS
DDF,DAPPLE JACK,INTERSPECIFIC PLUMS
DSU,DAPPLE SUPREME,INTERSPECIFIC PLUMS
EBE,EBONY ROSE,INTERSPECIFIC PLUMS
FAL,FALL FIESTA,INTERSPECIFIC PLUMS
FET ,FESTIVAL RED,INTERSPECIFIC PLUMS
5ZB,FLAVOR PRINCE,INTERSPECIFIC PLUMS
FLF,FLAVOR FALL,INTERSPECIFIC PLUMS
FLV,FLAVOROSA,INTERSPECIFIC PLUMS
FVK,FLAVOR KING™,INTERSPECIFIC PLUMS
HOP,HONEY PUNCH,INTERSPECIFIC PLUMS
KKT,KRIMSON KAT ,INTERSPECIFIC PLUMS
MGI,MIDNIGHT GOLD,INTERSPECIFIC PLUMS
MTS,MIDNIGHT STAR,INTERSPECIFIC PLUMS
PR6,PLUMRED VI,INTERSPECIFIC PLUMS
PR7,PLUMRED VII,INTERSPECIFIC PLUMS
PED,PLUMRED XVI,INTERSPECIFIC PLUMS
PS6,PLUMSWEET VI,INTERSPECIFIC PLUMS
PWT,PLUMSWEET XI,INTERSPECIFIC PLUMS
PS2,PLUMSWEETTWO,INTERSPECIFIC PLUMS
PSW,PLUMSWEET X,INTERSPECIFIC PLUMS (Green Marketing dispensation)
P15,PLUMSWEET XV,INTERSPECIFIC PLUMS
P16,PLUMSWEET XVI,INTERSPECIFIC PLUMS
RPX,RED PHOENIX,INTERSPECIFIC PLUMS
EER,REDSWEET,INTERSPECIFIC PLUMS
RED,RED YUMMY,INTERSPECIFIC PLUMS
RDW,RUBY DAWN,INTERSPECIFIC PLUMS
SCP,SCARLET PUNCH,INTERSPECIFIC PLUMS
SUH,SUNSET DELIGHT,INTERSPECIFIC PLUMS
SXE,SWEET PIXIE 1,INTERSPECIFIC PLUMS
SX4,SWEET PIXIE 4,INTERSPECIFIC PLUMS
SX2,SWEET PIXZEE 2,INTERSPECIFIC PLUMS
SWY,SWEET SYLVIA,INTERSPECIFIC PLUMS
TAU,TAURED,INTERSPECIFIC PLUMS
ZRI,ZETA RED,INTERSPECIFIC PLUMS
