Unnamed: 0,MIXED BERRIES,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
FMR,FRONTERAS/MEGAEARLY,MIXED BERRIES
MCA,MARAVILLA/CLARA,MIXED BERRIES
MBR,MARAVILLA/STELLA,MIXED BERRIES
MIM,MARAVILLA/RAYMI,MIXED BERRIES
MKA,MARAVILLA/KIRRA,MIXED BERRIES
MLC,MARAVILLA/CORRINNA,MIXED BERRIES
MLP,MARAVILLA/DUPREE,MIXED BERRIES
MVE,MARAVILLA/RASSIE,MIXED BERRIES
MVK,MARAVILLA/AKALA,MIXED BERRIES
MVL,MARAVILLA/STELLA,MIXED BERRIES
MVN,MARAVILLA/REGINA,MIXED BERRIES
MVS,MARAVILLA/ROSITA,MIXED BERRIES
MVV,MARAVILLA / VICTORIA,MIXED BERRIES
MMG,MERCEDE/MEGAEARLY,MIXED BERRIES
MYR,RABIDA/MEGAEARLY,MIXED BERRIES
REC,REYNA/CLARA,MIXED BERRIES
RVR,REYNA/VICTORIA,MIXED BERRIES
VAM,MARAVILLA/ARANA,MIXED BERRIES
