Unnamed: 0,NECTARINES,Unnamed: 2,Unnamed: 3
,,,
,,,
Variety Code,Variety Name,Product Name,Flesh Colour 
AGL,AFRICAN GLO,NECTARINES,YN
A60,ALASKA RED,NECTARINES,WN
ALE,ALPINE,NECTARINES,YN
ALT,ALTAMIRA,NECTARINES,WN
AMA,AMADEUS,NECTARINES,WN
APG,APRIL GLO,NECTARINES,YN
AN1,ARC NE-1 (COLOURBURST®),NECTARINES,YN
AN2,ARC NE-2 (COLOURBURST®),NECTARINES,YN
NE3,ARC NE-3 (NECTARGOLD®),NECTARINES,YN
NE4,ARC NE-4 (NECTARGOLD®),NECTARINES,YN
NE5,ARC NE-5 (NECTARGOLD®),NECTARINES,YN
NE7,ARC NE-7 (NECTARGOLD®),NECTARINES,YN
AN8,ARC NE 8 (NECTAGOLD®),NECTARINES,YN
N08,ARC NE 08-16 (NECTARGOLD®). ,NECTARINES,YN
NE9,ARC NE-9 (NECTARGOLD®),NECTARINES,YN
N41,ARC NE-11,NECTARINES,YN
N03,ARC NE-12 ,NECTARINES,YN
ARJ,ARCTIC JEWEL,NECTARINES,WN
ATM,ARCTIC MIST,NECTARINES,WN
ARQ,ARCTIC QUEEN,NECTARINES,WN
ARE,ARCTIC RED,NECTARINES,WN
ARU,ARCTIC RUNNER,NECTARINES,WN
ARS,ARCTIC SNOW,NECTARINES,WN
ARP,ARCTIC SPRING,NECTARINES,WN
ASW,ARCTIC SWEET,NECTARINES,WN
ARC,ARCTIC STAR,NECTARINES,WN
AWF,ARCTIC WOLF,NECTARINES,WN
ARM,ARMKING,NECTARINES,YN
774,ASF0774  (REGAL’IN™),NECTARINES,WN
AIS,ATANAIS,NECTARINES,YN
AUB,AUGUST BRIGHT,NECTARINES,YN
AGG,AUGUST GLO,NECTARINES,YN
AGP ,AUGUST PEARL,NECTARINES,WN
AUR,AUGUST RED,NECTARINES,YN
ABL,AUTUMN BLAZE,NECTARINES,YN
ABR,AUTUMN BRIGHT,NECTARINES,YN
AUG,AUTUMN GRAND,NECTARINES,YN
BDO,BELLA DONNA,NECTARINES,YN
BNV,BELLA NOVA,NECTARINES,YN
BRA,BELLA ROSA,NECTARINES,YN
BBA,BIG BANG,NECTARINES,YN
BIG,BIG TOP,NECTARINES,YN
BGD,BRIGHT DESIRE,NECTARINES,YN
BRP,BRIGHT PEARL,NECTARINES,WN
BOR,BOREAL,NECTARINES,WN
B28,BURNECT 28,NECTARINES,YN
B34,BURNECT 34,NECTARINES,YN
BN4,BURNECTFOUR ,NECTARINES,YN
CYG,CANDY GOLD,NECTARINES,YN
CAA,CARACAS,NECTARINES,YN
CIS,CLARISS,NECTARINES,YN
COP,COPACABANA,NECTARINES,YN
COG,CORAL GLO,NECTARINES,YN
CBL,CRIMSON BLAZE,NECTARINES,YN
CRT,CRIMSON GIANT,NECTARINES,YN
CGL,CRIMSON GLO,NECTARINES,YN
CYD,CRYSTAL DESIRE,NECTARINES,WN
DCB,DECEMBER BRIGHT,NECTARINES,YN
DSD,DESERT DELIGHT,NECTARINES,YN
DEN,DIAMENTINA,NECTARINES,WN
DZE,DIAMONDZEE,NECTARINES,YN
