Unnamed: 0,ORANGES,Unnamed: 2,Unnamed: 3
,,,
,,,
Variety Code,Variety Name,Product Name,
DDO,ADDO EARLY NAVELS,ORANGES,
APH,ALPHA ,ORANGES,
AVS,ALPHA SEEDLESS,ORANGES,
APV,ALPHA VALENCIAS,ORANGES,
AGN,AUTUMN GOLD NAVELS,ORANGES,
ALN,AUTUMN GOLD LATE NAVEL,ORANGES,
ANL,AUTUMN GOLD NAVELATES,ORANGES,
AZI,AMANZI VALENCIAS,ORANGES,
BLI,BELI,ORANGES,
BVA,BELI VALENCIAS,ORANGES,
BFN,BARNFIELD SUMMER NAVELS,ORANGES,
BSL,BARNFIELD SUMMER LATE NAVELS,ORANGES,
BSV,BARNFIELD SUMMER NAVELATES,ORANGES,
BHA,BAHIANINHA NAVELS,ORANGES,
BEN,BENNIE,ORANGES,
BNY,BENNY,ORANGES,
BVL,BENNIE VALENCIAS,ORANGES,
BNL,BENNY VALENCIAS,ORANGES,
BRU,BRUWER EARLY NAVELS,ORANGES,
CAO,CALOMA NAVELS,ORANGES,
OMA,CALOMA NAVELATES,ORANGES,
OML,CALOMA LATE NAVELS,ORANGES,
CAR,CARA CARA,ORANGES,
CCN,CARA CARA NAVELS,ORANGES,
CBM,CAMBRIA NAVELS,ORANGES,
CKL,CARNINKA LATE NAVELS,ORANGES,
CNN,CARNINKA NAVELS,ORANGES,
CKU,CARNINKA ULTRA LATE,ORANGES,
CKN,CARNINKA NAVELATES,ORANGES,
CLV,CAMBRIA LATE NAVELS,ORANGES,
CNL,CAMBRIA NAVELATES,ORANGES,
CLN,CLANOR,ORANGES,
CVC,CLANOR VALENCIAS ,ORANGES,
CHL,CHISLETT SUMMER LATE NAVELS,ORANGES,
CHS,CHISLETT SUMMER NAVELS,ORANGES,
CHV,CHISLETT SUMMER NAVELATES,ORANGES,
DLC,DELICIA,ORANGES,
DLV,DELICIA VALENCIAS,ORANGES,
DTA,DELTA,ORANGES,
DEL,DELTA SEEDLESS,ORANGES,
DVL,DELTA VALENCIAS,ORANGES,
DEE,DE WET NAVELS ,ORANGES,
DRM,DREAM NAVELS,ORANGES,
DOI,DU ROI VALENCIAS,ORANGES,
DTT,DU TOIT LATE VALENCIAS,ORANGES,
FSH,FISCHER NAVELS,ORANGES,
FSH,FISHER NAVELS,ORANGES,
FMN,FUKUMOTO NAVELS,ORANGES,
GOL,GLEN ORA LATE NAVELS,ORANGES,
GLL,GLEN ORA LATE LATE NAVELS,ORANGES,
GON,GLEN ORA LATE NAVELATES,ORANGES,
GNL,GLOUDI LATE NAVELS,ORANGES,
GDN,GLOUDI NAVELS,ORANGES,
GNV,GLOUDI NAVELATES,ORANGES,
GUS,GUSOCORA SEEDLESS,ORANGES,
GSV,GUSOCORA VALENCIAS,ORANGES,
HTT,HENRIETTA VALENCIAS,ORANGES,
JSV,JASI VALENCIAS,ORANGES,
JUV,JUVALLE,ORANGES,
KAV,KAS VALENCIAS,ORANGES,
KMI,KIYOMI,ORANGES,
KYV,KIYOMI ORANGE,ORANGES,
KIM,KIYOMI VALENCIAS,ORANGES,
KRN,KIRKWOOD RED NAVEL,ORANGES,
KWR,KIRKWOOD RED,ORANGES,
