Unnamed: 0,PEACHES,Unnamed: 2,Unnamed: 3
,,,
,,,
Variety Code,Variety Name,Product Name,Flesh Colour 
G62,207LC562,PEACHES,WP
37Z,37ZD778,PEACHES,WP
395,395LN250,PEACHES,WP
ADI,AMANDINA,PEACHES,WP
AIA,ASTORIA,PEACHES,YP
ATC,AUTUMN CRUNCH,PEACHES,YP
AGD,AUTUMN GOLD,PEACHES,YP
ALB,ALBATROS,PEACHES,WP
ALD,ALPINE DELIGHT,PEACHES,WP
AZC,AZTEC ICE,PEACHES,WP
BAB,BABCOCK,PEACHES,WP
BAL,BEALE,PEACHES,WP
BOL,BOLAND,PEACHES,WP
BON,BONNIGOLD,PEACHES,YP
BTP,BRIGHT PRINCESS,PEACHES,YP
BRL,BRITTANEY LANE,PEACHES,YP
BUP,BURPEACHTHIRTEEN,PEACHES,YP
B30,BURPEACH 30,PEACHES,YP
CDT,CAMEO DELIGHT,PEACHES,YP
CYP,CANDY PRINCESS,PEACHES,YP
CSC,CASCADE,PEACHES,YP
CTH,CATHERINA,PEACHES,YP
CDB,CEDERBERG,PEACHES,YP
CDR,CINDERELLA,PEACHES,YP
CLA,CLASSIC,PEACHES,YP
CLO,CLOCOLAN,PEACHES,YP
CPR,CORAL PRINCESS,PEACHES,WP
COR,CORONET,PEACHES,YP
CRH,CRIMSON DELIGHT,PEACHES,YP
CRL,CRIMSON LADY,PEACHES,YP
CMS,CRIMSON SUN,PEACHES,YP
CSW,CRIMSON SWEET,PEACHES,WP
PRC,CRISPDELICE SUN ,PEACHES,YP
CDC,CRISPDELICE SUN (Regal’in™) ,PEACHES,YP
CDM,CRISPDREAM (Regal’in™) ,PEACHES,YP
CUL,CULEMBORG,PEACHES,WP
DCP,DECEMBER PRINCESS,PEACHES,YP
DEW,DE WET,PEACHES,YP
DGO,DESERT GOLD,PEACHES,YP
DPE,DESERT PEARL,PEACHES,YP
DEN,DIAMENTINA,PEACHES,WP
DET,DON ELITE,PEACHES,YP
DYK,DUKE OF YORK,PEACHES,WP
EBL,EARLIBELLE,PEACHES,YP
ERB,EARLIBLUSH,PEACHES,YP
EGP,EARLIGOLD,PEACHES,YP
EGR,EARLIGRANDE,PEACHES,YP
EAR,EARLIRICH,PEACHES,YP
ESN,EARLISUN,PEACHES,YP
EDW,EARLY DAWN,PEACHES,WP
ELP,EARLY PRINCESS,PEACHES,YP
ELB,ELBERTA,PEACHES,YP
EXC,EXCELLENCE,PEACHES,YP
FAE,FAIRTIME,PEACHES,YP
FNT,FANTASY,PEACHES,YP
FRI,FIRE RICH,PEACHES,YP
FBZ,FLATBUZZ,PEACHES,WP
FFC,FLATBUZZ (FRUITCAKE™),PEACHES,WP
FBD,FLATBUZZ (ONDINE™),PEACHES,WP
FSR,FLATSTAR,PEACHES,WP
OFS,FLATSTAR (ONDINE™),PEACHES,WP
RFS,FLATSTAR (REGAL’IN™),PEACHES,WP
ODF,FLATBEAUTI (ONDINE™),PEACHES,WP
FBI,FLATBEAUTI (REGAL’IN™),PEACHES,WP
FBL,FLATBELLA,PEACHES,WP
OFB,FLATEBELLA (ONDINE™),PEACHES,WP
RFB,FLATBELLA (REGAL’IN™),PEACHES,WP
