Unnamed: 0,PEARS,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
ABF,ABATE FETEL,PEARS
AMG,AMBER GRACE® (GENERAL LE CLERC),PEARS
BRT,BARTLETT,PEARS
BBC,BEURRE BOSC,PEARS
BHD,BEURRE HARDY,PEARS
BWI,BLUSHED WILLIAMS,PEARS
BNC,BON CHRETIEN,PEARS
BRO,BON ROUGE,PEARS
CBU,CAPE BLUSH,PEARS
CRS,CAPE ROSE,PEARS
CM2,CARMEN,PEARS
CNP,CELINA ,PEARS
CHY,CHEEKY® (CAPE ROSE),PEARS
CFV,CLAPP'S FAVOURITE,PEARS
CNR,CONCORDE,PEARS
CNF,CONFERENCE,PEARS
COS,COSCIA,PEARS
DDC,DOYENNE DU COMICE,PEARS
DPP,DPP1,PEARS
CFP,DPP1 (CAPE FIRE™),PEARS
DCG,DUNCAN'S GOLD,PEARS
FGO,FLAMINGO,PEARS
FMP,FLAMINGO/SEMPRE,PEARS
FRL,FORELLE,PEARS
FRC,FORELLE (FEMA) (The code should only be used on consignment notes and addendum to differentiate FEMA Forelle.),PEARS
VBT,FORELLE/VERMONT BEAUTY,PEARS
VBC,FORELLE/VERMONT BEAUTY (FEMA) (The code should only be used on consignment notes and addendum to differentiate FEMA Forelle.),PEARS
GLE,GENERAL LE CLERC,PEARS
GLZ,GLANZ,PEARS
GLM,GLOUT MOCEAU,PEARS
GRB,GOLDEN RUSSET BOSC,PEARS
GRW,GREEN WILLIAMS,PEARS
HAD,HARROW DELIGHT,PEARS
HIL,HIGHLANDS,PEARS
JOS,JOSEPHINE,PEARS
PJP,JOSEPHINE DE MALINES,PEARS
KER,KAIZER ALEXANDER,PEARS
KFR,KIEFFER,PEARS
LIL,LILY,PEARS
LOU,LOUISE BONNE,PEARS
MTT,MORETTINI 64,PEARS
P6,P06,PEARS
P73,P07-03,PEARS
P80,P80,PEARS
PTR,PACKHAM’S TRIUMPH,PEARS
PP9,PREMP009,PEARS
RTT,RED BARLETT ,PEARS
RDJ,RED D'ANJOU,PEARS
RBC,RED WILLIAMS,PEARS
ROC,ROCHA,PEARS
DVD,RODE DOYENNE VAN DOORN,PEARS
DVS ,RODE DOYENNE VAN DOORN (SWEET SENSATION®),PEARS
RSM,ROSEMARIE,PEARS
RSP,ROSEMARIE/SEMPRE,PEARS
SCI,STARKRIMSON,PEARS
TP15-41,T15,PEARS
VBH,VICTORIA BLUSH,PEARS
WDY,WENDY,PEARS
WBT,WILLIAMS BEAUT,PEARS
WBC,WILLIAM'S BON CHRETIEN,PEARS
WLM,WILLIAMS,PEARS
WNE,WINTER NELIS,PEARS
