Unnamed: 0,PLUMS,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
AFD,ARC PR-2 (AFRICAN DELIGHT®),PLUMS
AFP,AFRIGOLD (AFRICAN PRIDE®),PLUMS
AFG,AFRIGOLD,PLUMS
ANG,ANGELENO®  (SUPLUMSIX),PLUMS
AP1,ARC PR-1,PLUMS
AFI,ARC PR-4 (AFRICAN ROSE®),PLUMS
AYU,AUGUST YUMMY,PLUMS
BSN,BIG SUN,PLUMS
BDI,SUPLUMELEVEN(BLACK DIAMOND®),PLUMS
BHT,BRAVE HEART,PLUMS
BSP,BLACK SPLENDOR,PLUMS
BLE,BLACK PEARL,PLUMS
CAS,CASSELMAN,PLUMS
CAT,CATALINA,PLUMS
CEL,CELEBRATION,PLUMS
CRO,CROCODILE DUNDEE,PLUMS
EAM,EARLY AROMA,PLUMS
ECL,ECLIPSE,PLUMS
EMB,EMERALD BEAUT,PLUMS
FLS,FLAVOUR STAR,PLUMS
FRT,FORTUNE,PLUMS
GAV,GAVIOTA,PLUMS
GFG,GOLDFINGER,PLUMS
GKI,GOLDEN KING,PLUMS
GKS,GOLDEN KISS  (AFRICAN PRIDE™),PLUMS
GVR,GAVEARLI,PLUMS
GRR,GREEN RED,PLUMS
HAR,HARRY PICKSTONE ,PLUMS
HIR,HIROMI RED,PLUMS
HNM,HONEYMOON,PLUMS
HST,HONEY STAR,PLUMS
HYD,HONEY DAWN,PLUMS
INB,INBAR,PLUMS
K22,K2-261,PLUMS
K69,K2-269 (SWEET CHRISTINE),PLUMS
KEL,KELSEY,PLUMS
LAE,LAETITIA,PLUMS
LAM,LAMOON,PLUMS
LAN,LARRY ANNE,PLUMS
LSR,LATE SHEFER,PLUMS
LRD,LADY RED,PLUMS
LRH,LARODA,PLUMS
LYS,LADY WEST,PLUMS
AKM,MARK,PLUMS
MKR,MARK (H20-28),PLUMS
MET,METHLEY,PLUMS
MG1,MG141,PLUMS
MRP,MARIPOSA,PLUMS
NEQ,NEW QUEEN,PLUMS
PNR,PIONEER,PLUMS
PRE,PRESIDENT,PLUMS
PGR,PLUMAGRANATE,PLUMS
SRN,PLUMAGRANATE (SUPER  NOVA®) ,PLUMS
POR,POLARIS,PLUMS
PR2,PR06-23,PLUMS
PUR,PURPLE MAJESTY,PLUMS
QEL,QUEEN ELSA,PLUMS
QGT,QUEEN GARNET,PLUMS
RBE,RED BEAUT,PLUMS
RDG,REDGOLD,PLUMS
RHT,RED HEART,PLUMS
RYS,ROYSUM,PLUMS
RCU,RUBY CRISP,PLUMS
RBL,RUBY NEL or REUBENNEL,PLUMS
RRD,RUBY RED,PLUMS
RBA,RUBY STAR,PLUMS
RUY,RUBY SUN,PLUMS
S5B,ROYAL AMBER,PLUMS
A96,SATIN GOLD ,PLUMS
SAN,SANTA ROSA,PLUMS
SAP,SAPPHIRE,PLUMS
SAS,SATSUMA,PLUMS
SNS,SENSATION,PLUMS
SYU,SEPTEMBER YUMMY ,PLUMS
SGP,SGPR3218,PLUMS
328,SG-PR-3280,PLUMS
330,SG-PR-3301,PLUMS
SEC,SOLAR ECLIPSE,PLUMS
SON,SONGOLD,PLUMS
SBL,SOUTHERN BELLE,PLUMS
SOU,SOUVENIR,PLUMS
SP5,STARPLUM 5,PLUMS
ST6,STARPLUM 6,PLUMS
SP7,STARPLUM 7 (POLARIS),PLUMS
STV,STAV,PLUMS
P11,SUPLUMELEVEN,PLUMS
P25,SUPLUMTWENTYFIVE,PLUMS
S25,SUPLUMTWENTYFIVE (BLACK GIANT®),PLUMS
P28,SUPLUMTWENTYEIGHT (BLACK DIAMOND® )  ,PLUMS
S41,SUPLUMFORTYONE,PLUMS
SBG,SUPLUMFORTYTWO (BLACK GIANT®),PLUMS
SFD,SUPLUMFIFTY (BLACK DIAMOND®),PLUMS
SYT,SUPLUMFIFTYTWO (BLACK DIAMOND®),PLUMS
CRE,SWEET CHRISTINE,PLUMS
SAR,SWEET AROMA,PLUMS
SBZ,SUN BREEZE,PLUMS
SDW,SUNDEW,PLUMS
SIX,SUPLUMSIX,PLUMS
SKS,SUN KISS  (AFRICAN PRIDE®),PLUMS
SNR,SUNRISE,PLUMS
SSE,SUN SUPREME®  (ARC PR-1),PLUMS
SST,SUNSET,PLUMS
TGD,TEAK GOLD,PLUMS
WIC,WICKSON,PLUMS
WIR,WINNER,PLUMS
YUB,YUMMY BEAUT,PLUMS
YUC,YUMMY CRISP,PLUMS
YUM,YUMMY GEM,PLUMS
YUG,YUMMY GIANT,PLUMS
