Unnamed: 0,POMEGRANATE,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
314,314,POMEGRANATE
SS7,777,POMEGRANATE
AC1,ACCO,POMEGRANATE
ANR,ANGEL RED,POMEGRANATE
ARK,ARAKTA,POMEGRANATE
BAG,BAGHWA,POMEGRANATE
B2P,B2,POMEGRANATE
EML,EARLY MULLER,POMEGRANATE
EMK,EMEK,POMEGRANATE
GAN,GANESH,POMEGRANATE
GRT,GARNET,POMEGRANATE
HGW,HAGWA,POMEGRANATE
HKV,HERSHKOVITZ,POMEGRANATE
KIG,KINGDOM,POMEGRANATE
KEA,KESSARI,POMEGRANATE
MDE,MOLLAR DE ELCHE,POMEGRANATE
PAS,PASSION FRUIT,POMEGRANATE
PFK,PARFIANKA,POMEGRANATE
PQE,PURPLE QUEEN,POMEGRANATE
RPG,ROSY,POMEGRANATE
RUD,RUBY,POMEGRANATE
RSV,ROSAVAYA,POMEGRANATE
SIR,SHIR,POMEGRANATE
WDF,WONDERFUL,POMEGRANATE
