Unnamed: 0,Pumpkins,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
AMO,AMORO,PUMPKINS 
BGP,BUSHGREY,PUMPKINS 
CKY,COLINKY,PUMPKINS 
CPC,CROWN PRINCE,PUMPKINS 
DLA,DELICA,PUMPKINS 
ELO,ELOIS,PUMPKINS 
HOK,HOKKAIDO,PUMPKINS 
IRL,IRON LADY,PUMPKINS 
IRN,IRON CAP,PUMPKINS 
KBC,KABOCHA PUMPKIN,PUMPKINS 
MIR,MINI RAY,PUMPKINS 
MCP,MUSCAT,PUMPKINS 
NLS,NELSON,PUMPKINS 
NUS,MUSQUE DE PROVENCE,PUMPKINS 
OPP,ORANGE SUMMER,PUMPKINS 
OPU,ORANGE PUMPKIN,PUMPKINS 
OSH,ORANGE SUMMER AND HOKKAIDO,PUMPKINS 
RKP,RED KURRI,PUMPKINS 
SPK,SAMSON PUMPKIN,PUMPKINS 
UCK,UCHIKIKURI,PUMPKINS 
WBP,WHITE BOER,PUMPKINS 
WCP,WHITE CROWN,PUMPKINS 
WTM,WALTHAM,PUMPKINS 
