Unnamed: 0,SOFT CITRUS,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
AFS,AFRICAN SUNSET,SOFT CITRUS
ANC,ANDES-1 (CLEMENLUZ™),SOFT CITRUS
ADO,ANDES-1 CLEMENTINES,SOFT CITRUS
ADM,ANDES-1 MANDARINS,SOFT CITRUS
ADT,ANDES-1 TANGERINES,SOFT CITRUS
AOM,AOSHIMA MANDARINS,SOFT CITRUS
AOS,AOSHIMA SATSUMA,SOFT CITRUS
ARR,ARRUFATINA CLEMENTINES,SOFT CITRUS
AMN,ARRUFATINA CLEMENTINE MANDARIN,SOFT CITRUS
ACG,ARRUFATINA CLEMENTINE TANGERINE,SOFT CITRUS
AMF,ARRUFATINA MANDARINS,SOFT CITRUS
AMT,ARRUFATINA TANGERINE ,SOFT CITRUS
BOC,BASOL CLEMENTINES,SOFT CITRUS
BOM,BASOL MANDARINS,SOFT CITRUS
BOT,BASOL TANGERINE ,SOFT CITRUS
BAM,BELABELA MANDARINS,SOFT CITRUS
BEE,BELABELA SATSUMAS,SOFT CITRUS
CLS,CLEM LATE CLEMENTINES,SOFT CITRUS
CLL,CLEM LATE LATE CLEMENTINES,SOFT CITRUS
CMD,CLEM LATE MANDARINS,SOFT CITRUS
CMT,CLEM LATE TANGERINE,SOFT CITRUS
CLC,CLEMCOTT,SOFT CITRUS
CPO,CLEMENPONS CLEMENTINES,SOFT CITRUS
CPM,CLEMENPONS MANDARINS,SOFT CITRUS
CTS,CLEMENPONS TANGERINES,SOFT CITRUS
CNT,CLEMENSOON CLEMENTINE ,SOFT CITRUS
CMA,CLEMENSOON MANDARIN,SOFT CITRUS
CAG,CLEMENSOON TANGERINE,SOFT CITRUS
CLT,CLEMENTARD CLEMENTINES,SOFT CITRUS
CTN,CLEMENTARD MANDARINS,SOFT CITRUS
CTT,CLEMENTARD TANGERINE,SOFT CITRUS
CML,CLEMENTINE LATES,SOFT CITRUS
CLE,CLEMENTINES,SOFT CITRUS
CDS,CLEMENTINES WITH SEEDS,SOFT CITRUS
CVL,CLEMENVILLA ,SOFT CITRUS
CSA,CLEMENVILLA SL,SOFT CITRUS
CP2,CPN2 CLEMENTINE,SOFT CITRUS
PNM,CPN2 MANDARIN,SOFT CITRUS
PTT,CPN2 TANGERINE,SOFT CITRUS
CFT,CULTIFORT CLEMENTINE,SOFT CITRUS
CUD,CULTIFORT MANDARIN,SOFT CITRUS
CUG,CULTIFORT TANGERINE,SOFT CITRUS
DIN,DINA,SOFT CITRUS
DIM,DINA MANDARIN,SOFT CITRUS
DOM,DOBASHI-BENI MANDARINS,SOFT CITRUS
DOB,DOBASHI-BENI SATSUMAS,SOFT CITRUS
EAE,EARLY ESBAL CLEMENTINE ,SOFT CITRUS
EEM,EARLY ESBAL MANDARIN,SOFT CITRUS
EET,EARLY ESBAL TANGERINE,SOFT CITRUS
ELL,ELLENDALE,SOFT CITRUS
EMP,EMPRESS,SOFT CITRUS
ESB,ESBAL CLEMENTINES,SOFT CITRUS
EBM,ESBAL MANDARINS,SOFT CITRUS
EBT,ESBAL TANGERINES,SOFT CITRUS
FAI,FAIRCHILD,SOFT CITRUS
