Unnamed: 0,STRAWBERRIES,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
AG6,AG6047,STRAWBERRIES
ABN,ALBION,STRAWBERRIES
ATL,ANTILLA,STRAWBERRIES
BAK,BARAK ,STRAWBERRIES
BYT,BEAUTY,STRAWBERRIES
BG6,BG6,STRAWBERRIES
CBI,CABRILLO,STRAWBERRIES
CDA,CALINDA,STRAWBERRIES
CAL,CALINDO,STRAWBERRIES
CMR,CAMINO REAL,STRAWBERRIES
HES,CHELSEA,STRAWBERRIES
ELI,DELIZZIMO,STRAWBERRIES
ETV,ESTAVANA,STRAWBERRIES
FDG,FANDANGO,STRAWBERRIES
FVA,FLAVIA,STRAWBERRIES
FRV,FLORIDA FESTIVAL ,STRAWBERRIES
FFA,FLORIDA FORTUNA ,STRAWBERRIES
FRG,FRAGARIA,STRAWBERRIES
FRO,FRONTERAS,STRAWBERRIES
HNR,HONOR,STRAWBERRIES
IPE,INSPIRE,STRAWBERRIES
JMN,JASMINE,STRAWBERRIES
LEY,LEYRE,STRAWBERRIES
MCT,MALLING CENTENARY ,STRAWBERRIES
MMS,MARISMA,STRAWBERRIES
MEE,MERCED,STRAWBERRIES
MSA,MONTEREY,STRAWBERRIES
NAE,NOA CARMEL,STRAWBERRIES
NRO,NORA,STRAWBERRIES
PIA,PALMERITAS,STRAWBERRIES
PFE,PARFAITE,STRAWBERRIES
PES,PELES,STRAWBERRIES
PTL,PETALUMA ,STRAWBERRIES
RIM,PRIMORIS,STRAWBERRIES
RID,RABIDA,STRAWBERRIES
RHA,RAPHEL 6050,STRAWBERRIES
RIK,RIKUS,STRAWBERRIES
ROE,ROCEIRA,STRAWBERRIES
RYC,ROYAL ROYCE,STRAWBERRIES
RWN,ROWENA,STRAWBERRIES
MTH,SAMANTHA,STRAWBERRIES
SAV,SAVANNA,STRAWBERRIES
INA,SABRINA,STRAWBERRIES
SBR,SABROSA,STRAWBERRIES
SAD,SAN ANDREAS,STRAWBERRIES
LEN,SELENE,STRAWBERRIES
SEL,SELEKTA,STRAWBERRIES
SSY,SHYRA,STRAWBERRIES
SPS,SPLENDOR,STRAWBERRIES
SUB,SUBROSA,STRAWBERRIES
SZN,SUZANA,STRAWBERRIES
WEE,SWEET ANN,STRAWBERRIES
SEO,SWEET LEOPARD,STRAWBERRIES
TIG,TIOGA,STRAWBERRIES
TIO,TIOBELLE,STRAWBERRIES
VAA,VALIANT,STRAWBERRIES
VLR,VALOR,STRAWBERRIES
VCT,VICTOR,STRAWBERRIES
VTY,VICTORY ,STRAWBERRIES
VRT,VIRTUE,STRAWBERRIES
WRR,WARRIOR,STRAWBERRIES
