Unnamed: 0,SWEET POTATOES,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
BAY ,BAYOU BELLE ,SWEET POTATOES
BIO,BIO-BELLE,SWEET POTATOES
BER,BEAUREGARD,SWEET POTATOES
BEV,BELLEVUE,SWEET POTATOES
BSB,BLESBOK,SWEET POTATOES
BNI,BONITA,SWEET POTATOES
BOB,BOSBOK/BUSHBUCK,SWEET POTATOES
BDY,BURGANDY ,SWEET POTATOES
CRR,CAROLINA RUBY,SWEET POTATOES
COV,COVINGTON,SWEET POTATOES
DUL,DUAL,SWEET POTATOES
EVA,EVALUATION,SWEET POTATOES
EVG,EVANGELINE,SWEET POTATOES
JEW,JEWEL,SWEET POTATOES
MSK,MURASAKI,SWEET POTATOES
MJI,MURASAKION,SWEET POTATOES
ORL,ORLEANS,SWEET POTATOES
RAT,RADIANT ,SWEET POTATOES
RBK,RIBBOK,SWEET POTATOES
SKU,SAKURA,SWEET POTATOES
SWT,SWEET POTATOES,SWEET POTATOES
VMC,VERMILLION,SWEET POTATOES
