Unnamed: 0,WATERMELONS,Unnamed: 2
,,
,,
Variety Code,Variety Name,Product Name
BMM,BOM BOM,WATERMELONS
CTV,CAPTIVATION,WATERMELONS
CRJ,CRAJACKS,WATERMELONS
WCD,CRISP DELIGHT,WATERMELONS
DKN,DARK SKIN ,WATERMELONS
RDH,RED HEAVEN,WATERMELONS
ENN,ESSENCE,WATERMELONS
WFN,FASCINATION,WATERMELONS
GUL,GUL,WATERMELONS
HLB,HALES BEST,WATERMELONS
HON,HOSHEN,WATERMELONS
INR ,INBAR ,WATERMELONS
PCP,PRECIOUS PETITE,WATERMELONS
PEG,PRESTIGE ,WATERMELONS
RJS,RED JASPER,WATERMELONS
SLW,SEEDLESS WATERMELON,WATERMELONS
WSE,SENSEI,WATERMELONS
SA1,STAR,WATERMELONS
SIH,SUNSHINE,WATERMELONS
TBO,TURBO,WATERMELONS
TLC,TALCA,WATERMELONS
